Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
La Estrella,Residencial,3,Acueducto,6835.47,3137.47,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,3,Alcantarillado,3809.98,2439.43,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,4,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,4,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,5,Acueducto,10571.09,4851.75,4851.75,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,5,Alcantarillado,6079.76,3892.71,3892.71,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,6,Acueducto,11275.82,5175.20,5175.20,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
La Estrella,Residencial,6,Alcantarillado,6485.07,4152.22,4152.22,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Comercial,Comercial,Acueducto,10571.09,0.00,0.00,4851.75,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Comercial,Comercial,Alcantarillado,6079.76,0.00,0.00,3892.71,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Industrial,Industrial,Acueducto,9161.61,0.00,0.00,4204.85,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Industrial,Industrial,Alcantarillado,5269.12,0.00,0.00,3373.68,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.61,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,1,Acueducto,2396.11,1099.73,3342.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,1,Alcantarillado,1378.08,882.35,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,2,Acueducto,4228.43,1940.70,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,2,Alcantarillado,2431.90,1557.08,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,3,Acueducto,5990.28,2749.33,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,3,Alcantarillado,3445.19,2205.87,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,4,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,4,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,5,Acueducto,10571.09,4851.75,4851.75,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,5,Alcantarillado,6079.76,3892.71,3892.71,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,6,Acueducto,11275.82,5175.20,5175.20,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Medellín,Residencial,6,Alcantarillado,6485.07,4152.22,4152.22,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Comercial,Comercial,Acueducto,10923.45,0.00,0.00,5013.48,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Comercial,Comercial,Alcantarillado,6282.41,0.00,0.00,4022.47,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Industrial,Industrial,Acueducto,10127.10,0.00,0.00,4647.98,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Industrial,Industrial,Alcantarillado,5893.31,0.00,0.00,3773.33,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.14,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,1,Acueducto,2114.22,970.35,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,1,Alcantarillado,1215.95,778.54,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,2,Acueducto,4228.43,1940.70,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,2,Alcantarillado,2431.90,1557.08,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,3,Acueducto,6835.97,3137.47,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,3,Alcantarillado,3809.98,2439.43,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,4,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,4,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,5,Acueducto,10571.09,4851.75,4851.75,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,5,Alcantarillado,6079.76,3892.71,3892.71,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,6,Acueducto,11275.82,5175.20,5175.20,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Sabaneta,Residencial,6,Alcantarillado,6485.07,4152.22,4152.22,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
